lib_mrq;lib_mod_doss;lib_mod;dscom;cnit;tvv;typ_cbr;hybride;puiss_admin_98;puiss_max;typ_boite_nb_rapp;conso_urb;conso_exurb;conso_mixte;co2;co_typ_1;hc;nox;hcnox;ptcl;masse_ordma_min;masse_ordma_max;champ_v9;date_maj;Carrosserie;gamme
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 T-jet (120ch) S/S;M10ALFVP0000324;940FXF1A05;ES;non;7;85;M 6;8,4;5,3;6,4;149;0,356;0,03;0,026;;;1355;1355;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;MITO;MITO;MITO 0.9 Twin Air (85ch) S/S;M10ALFVP0000360;955AXW1B17B;ES;non;4;62;M 6;4,9;3,8;4,2;98;0,528;0,049;0,037;;;1205;1205;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 T-jet (120ch) S/S;M10ALFVP0001325;940FXF1A05B;ES;non;7;85;M 6;8,4;5,3;6,4;149;0,356;0,03;0,026;;;1355;1355;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;MITO;MITO;MITO 1.4 MPI (105ch) MultiAir;M10ALFVP0002035;955AXL1B08;ES;non;6;77;M 6;7,6;4,8;5,8;136;0,192;0,049;0,04;;;1185;1185;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP0002326;940FXG1A06;ES;non;9;120;M 6;7,8;4,6;5,8;134;0,276;0,048;0,029;;;1365;1365;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 T-jet (120ch) S/S;M10ALFVP0003169;940FXA1A00;ES;non;7;88;M 6;8,4;5,3;6,4;149;0,356;0,03;0,026;;;1355;1355;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;BRERA;BRERA;BRERA 1750 TBI (200ch);M10ALFVP0003266;939DXN1B56;ES;non;12;147;M 6;11,8;6;8,1;189;0,601;0,06;0,04;;0,003;1505;1505;715/2007*692/2008EURO5;;COUPE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP0003327;940FXG1A06B;ES;non;9;120;M 6;7,8;4,6;5,8;134;0,276;0,048;0,029;;;1365;1365;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;MITO;MITO;MITO 1.4 TB (135ch) MultiAir;M10ALFVP0004037;955AXM1A09;ES;non;7;99;M 5;7,4;4,5;5,6;129;0,519;0,052;0,032;;;1210;1210;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 TB MultiAir (170ch) S/S;M10ALFVP0004170;940FXB1A01;ES;non;9;125;M 6;7,8;4,6;5,8;134;0,276;0,048;0,029;;;1365;1365;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;BRERA;BRERA;BRERA 1750 TBI (200ch);M10ALFVP0004267;939DXN1B56B;ES;non;12;147;M 6;11,8;6;8,1;189;0,601;0,06;0,04;;0,003;1505;1505;715/2007*692/2008EURO5;;COUPE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 T-jet (120ch) S/S;M10ALFVP0004328;940FXA1A00C;ES;non;7;88;M 6;8,4;5,3;6,4;149;0,356;0,03;0,026;;;1355;1355;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;MITO;MITO;MITO 1.4 TB (135ch) MultiAir;M10ALFVP0005038;955AXM1A09B;ES;non;7;99;M 5;7,4;4,5;5,6;129;0,519;0,052;0,032;;;1210;1210;715/2007*692/2008EURO5;;BERLINE;INFERIEURE
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 2.0 JTDm (170ch) S/S;M10ALFVP0005171;940FXE1A04;GO;non;9;125;M 6;5,8;4,1;4,7;124;0,152;;0,158;0,201;0,002;1395;1395;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;BRERA;BRERA;BRERA 2.0 JTDm (170ch);M10ALFVP0005268;939DXP1B58;GO;non;9;125;M 6;7,1;4,4;5,4;142;0,189;;0,155;0,18;0,002;1555;1555;715/2007*692/2008EURO5;;COUPE;MOY-SUPER
ALFA-ROMEO;AR8C SPIDER;8C SPIDER;8C SPIDER;M10ALFVP0005293;920BXA1A00B;ES;non;38;331;M 6;24,4;11,6;16,3;379;0,501;0,038;0,027;;;1750;1750;715/2007*692/2008EURO5;;CABRIOLET;LUXE
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 T-jet (120ch) S/S;M10ALFVP0005329;940FXA1A00D;ES;non;7;88;M 6;8,4;5,3;6,4;149;0,356;0,03;0,026;;;1355;1355;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;AR8C SPIDER;8C SPIDER;8C SPIDER;M10ALFVP0006039;920BXA1A00;ES;non;38;331;M 6;24,4;11,6;16,3;379;0,501;0,038;0,027;;;1750;1750;715/2007*692/2008EURO5;;CABRIOLET;LUXE
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1750 Tbi (235ch) Quadrifoglio Verde;M10ALFVP0006172;940FXC1A02;ES;non;14;172;M 6;10,8;5,8;7,6;177;0,375;0,049;0,022;;0,001;1395;1395;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
ALFA-ROMEO;BRERA;BRERA;BRERA 2.0 JTDm (170ch);M10ALFVP0006269;939DXP1B58B;GO;non;9;125;M 6;7,1;4,4;5,4;142;0,189;;0,155;0,18;0,002;1555;1555;715/2007*692/2008EURO5;;COUPE;MOY-SUPER
ALFA-ROMEO;GIULIETTA;GIULIETTA;GIULIETTA 1.4 MPI T-jet (120ch) S/S;M10ALFVP0006294;940FXA1A00C;ES;non;7;88;M 6;8,4;5,3;6,4;149;0,356;0,03;0,026;;;1355;1355;715/2007*692/2008EURO5;;BERLINE;MOY-SUPER
